"ID_REF"	"GSM101095"	"GSM101096"	"GSM101097"	"GSM101098"	"GSM101099"	"GSM101100"	"GSM101101"	"GSM101102"	"GSM101103"	"GSM101104"	"GSM101105"	"GSM101106"	"GSM101107"	"GSM101108"	"GSM101109"	"GSM101110"	"GSM101111"	"GSM101112"	"GSM101113"	"GSM101114"	"GSM101115"	"GSM101116"
"226823_at"	861.19116	743.80524	791.3719	686.16455	751.3818	797.5205	760.9874	881.88074	813.8791	739.32684	862.9267	872.74603	601.46295	624.1983	641.39435	649.1886	732.55756	681.2758	760.67035	666.9109	902.441	710.6196
"226824_at"	82.198006	62.13531	66.15017	51.22349	73.10431	61.718304	51.94681	54.351887	55.0047	56.32618	59.340443	87.036674	74.47702	81.346504	54.593906	109.10168	62.766018	77.96855	48.13958	73.98233	64.13356	52.84331
"226825_s_at"	926.3376	961.8196	701.40625	587.9435	590.4794	779.0672	759.7996	556.84	677.38574	1188.577	947.7861	1050.865	560.67993	411.10962	650.9145	635.38995	961.25287	1181.0111	1162.9508	522.8799	1426.6406	640.2604
"226826_at"	27.900131	52.791042	49.697227	63.190044	55.00947	69.880264	65.81691	79.08181	60.865234	54.269882	56.139767	48.666233	40.794476	49.987846	29.853804	26.005161	52.543346	35.753143	40.515785	49.332893	39.501446	51.193237
"226827_at"	21.499401	18.794535	19.689976	23.781015	26.253664	21.638659	16.567684	18.009068	23.13941	20.229618	19.258087	20.617342	27.788988	40.71031	33.01283	35.709747	17.908396	23.23639	19.365337	22.10052	20.365574	22.730265
"226828_s_at"	51.865704	34.485	36.225937	42.3615	44.727684	38.45307	25.564423	37.642277	33.44996	27.913685	34.922234	33.889343	35.077713	65.170204	34.04734	37.102688	27.364983	32.989918	31.178604	29.314732	27.826626	27.366875
"226829_at"	17.686638	16.965704	17.511324	15.363567	14.991149	20.197685	13.06739	15.37956	13.138786	14.547764	23.65382	23.073246	15.5561905	28.728514	18.995533	16.40175	25.108036	20.935709	16.121815	16.878784	13.851991	20.29466
"226830_x_at"	7.614284	8.064191	7.2134733	9.850877	7.248107	10.322715	8.840473	8.007572	12.495215	8.715259	11.955154	9.258774	8.883533	7.5004473	13.96883	8.417079	7.1907268	7.678773	12.000881	10.070399	12.170347	9.115921
"226831_at"	59.237507	403.99457	311.34955	448.45282	96.7624	189.6697	426.17584	297.04593	214.46599	263.5055	200.04875	230.84978	169.00851	68.69591	228.44258	67.530426	429.7853	288.64096	132.36577	324.8278	392.45435	309.0455
"226832_at"	77.838684	180.26663	191.02399	216.23363	102.45143	132.21431	203.21185	192.30136	178.69687	146.59088	160.60179	159.22545	173.70677	78.082214	187.54222	87.55784	225.65306	182.73602	127.25274	170.20944	201.80627	237.64626
"226833_at"	1146.28	967.1761	1045.0803	1077.8301	916.16907	1093.8083	1250.7931	1348.3564	1041.496	1079.439	1304.1696	1287.4392	754.1773	511.19815	966.6058	891.63763	727.28766	895.66925	1318.4608	981.54865	1186.104	1129.8481
"226834_at"	9.597753	8.488667	8.88477	9.487134	10.504881	8.416497	7.8400865	7.9458323	9.059777	8.122619	8.786939	9.020555	9.394077	9.568484	8.959088	9.000228	8.1198	8.25621	8.215615	8.983061	8.093912	8.070068
"226835_s_at"	818.7946	893.2322	592.25476	865.17584	754.28235	909.87897	624.5341	559.46533	1032.0314	764.8268	831.9434	782.03357	604.09894	757.4035	625.90137	499.97668	796.4553	577.1569	782.1283	415.4268	500.48044	427.71677
"226836_at"	53.561584	50.15036	56.73821	49.43146	57.67536	68.3202	45.902496	50.1086	61.868427	59.194332	59.530212	61.257313	68.39615	74.44595	62.031845	60.905357	46.15974	48.62485	66.16619	59.737167	56.801228	66.20988
"226837_at"	36.839626	149.68085	124.47451	124.008804	56.503345	119.66636	160.98692	169.66093	109.99896	107.84413	83.89563	104.73447	98.12542	53.03712	105.39084	29.865208	118.834404	87.53354	44.426754	124.30185	110.73442	102.288
"226838_at"	231.39929	321.11737	297.25238	416.3003	167.55716	524.3342	358.4155	483.91953	456.17657	673.2363	387.86362	438.61642	218.06886	70.40487	248.64046	124.99405	300.6608	293.4797	384.41937	361.3258	349.89734	339.8081
"226839_at"	196.51146	138.59523	124.716736	122.66462	145.37488	168.16597	149.14145	158.3325	145.72342	157.46664	154.3606	154.70383	140.43518	143.49005	139.28955	131.09474	131.09024	117.91401	150.99046	142.31448	116.80609	151.64706
"226840_at"	123.85604	159.21693	180.40732	108.661255	118.20703	141.45769	132.23486	100.428696	148.56023	152.11346	183.15501	208.12643	95.86652	78.512955	140.48883	91.38304	242.28084	213.75255	183.91948	146.21991	215.15945	325.71964
"226841_at"	63.49892	196.72305	52.372177	57.95927	52.228752	65.199615	58.811363	50.712177	74.912476	57.391747	32.882446	26.5547	83.292145	204.8548	61.928524	49.108223	161.0707	66.84251	41.76583	122.9715	59.367157	42.79893
"226842_at"	329.83817	233.25787	302.2774	246.92914	310.68042	360.92474	260.0169	313.06186	283.30133	287.23187	303.59192	306.16302	278.07944	295.19604	276.77957	315.96545	301.79523	280.13312	284.45395	304.47815	342.56732	329.7693
"226843_s_at"	156.25255	300.93747	365.45636	267.55597	162.61816	278.91074	286.66403	249.96439	266.27734	212.68674	250.61578	283.14386	238.43103	101.58911	213.57823	159.28058	271.45645	395.06436	286.18683	398.8394	291.2472	437.1117
"226844_at"	36.32603	49.144054	35.065563	62.945972	51.14795	64.91849	48.743153	61.975845	61.42869	41.215027	39.629868	47.035473	173.52911	83.88255	124.010994	34.814518	131.76764	39.602364	38.018467	68.701866	47.41905	52.16088
"226845_s_at"	793.9852	807.0996	865.11646	1050.5533	1182.7751	1338.5647	1061.9733	950.60223	1211.5688	1109.6393	947.0452	1000.8478	1053.913	957.7893	1063.597	972.7647	720.4046	634.2439	935.0268	712.2493	635.4778	703.6742
"226846_at"	321.1232	194.34106	220.51224	191.78809	285.40335	195.97357	155.73291	210.51309	425.0385	245.80043	344.73822	210.1846	185.96718	265.68216	186.47786	233.82962	182.59023	120.45813	316.63525	168.5985	191.15674	138.73964
